,atomic_number,atomic_weight,density,phase,melting_point,boiling_point,critical_temperature,critical_pressure,heat_of_fusion,heat_of_vaporization,specific_heat,adiabatic_index,neel_point,thermal_conductivity,thermal_expansion,density__liquid,molar_volume,brinell_hardness,mohs_hardness,vickers_hardness,bulk_modulus,shear_modulus,young_modulus,poisson_ratio,refractive_index,speed_sound,valence,electronegativity,electron_affinity,color,electrical_conductivity,electrical_resistivity,superconducting_point,curie_point,volume_magnetic_susceptibility,atomic_radius,covalent_radius,van_der_waals_radius,lattice_constants__1,lattice_constants__2,lattice_constants__3,decay_mode,neutron_cross_section,neutron_mass_absorption,isotopic_abundances
1,1,1.008,8.989999999999999e-05,Gas,14.009999999999991,20.279999999999973,32.97,1.293,0.558,0.452,14300.0,1.4,,0.1805,,,0.01121,,,,,,,,1.000132,1270.0,1.0,2.2,72.8,Colorless,,,,,-2.23e-09,53.0,31.0,120.0,470, 470, 340,N/A,0.332,0.011,2
2,2,4.002602,0.0001785,Gas,,4.21999999999997,5.19,0.227,0.02,0.083,5193.1,1.6666666666666667,,0.1513,,,0.022424,,,,,,,,1.000035,970.0,0.0,,0.0,Colorless,,,,,-1.05e-09,31.0,28.0,140.0,424.2, 424.2, 424.2,N/A,0.007,1e-05,2
3,3,6.94,0.535,Solid,453.68999999999994,1615.15,3223.0,67.0,3.0,147.0,3570.0,,,85.0,4.6e-05,0.512,1.297e-05,,0.6,,11.0,4.2,4.9,,,6000.0,1.0,0.98,59.6,Silver,11000000.0,9.400000000002e-08,,,1.37e-05,167.0,128.0,182.0,351, 351, 351,N/A,71.0,,2
4,4,9.0121831,1.848,Solid,1560.15,2743.15,,,7.95,297.0,1820.0,,,190.0,1.13e-05,1.69,4.876699999999999e-06,600.0,5.5,1670.0,130.0,132.0,287.0,0.032,,13000.0,2.0,1.57,0.0,SlateGray,25000000.0,3.9999999999979996e-08,0.026,,-2.328e-05,112.0,96.0,,228.58, 228.58, 358.43,N/A,0.0092,3e-05,1
5,5,10.81,2.46,Solid,2348.15,4273.15,,,50.0,507.0,1030.0,,,27.0,6e-06,2.08,4.3943000000000004e-06,,9.3,49000.0,320.0,,,,,16200.0,3.0,2.04,26.7,Black,0.0001,10000.0,,,-2.14e-05,87.0,85.0,,506, 506, 506,N/A,760.0,2.4,2
6,6,12.011,2.26,Solid,3823.15,4300.15,,,105.0,715.0,710.0,,,140.0,7.099999999999999e-06,,5.3146e-06,,0.5,,33.0,,,,2.417,18350.0,4.0,2.55,153.9,Black,100000.0,1e-05,,,-1.4e-05,67.0,76.0,170.0,246.4, 246.4, 671.1,N/A,0.0035,1.5e-05,2
7,7,14.007,0.001251,Gas,63.04999999999998,77.35999999999999,126.21,3.39,0.36,2.79,1040.0,1.4,,0.02583,,,0.011197,,,,,,,,1.000298,333.6,3.0,3.04,7.0,Colorless,,,,,-6.8000000000000005e-09,56.0,71.0,155.0,386.1, 386.1, 626.5,N/A,1.91,0.0048,2
8,8,15.999,0.0014290000000000001,Gas,54.849999999999966,90.24999999999997,154.59,5.043,0.222,3.41,919.0,1.4,,0.02658,,,0.011196,,,,,,,,1.000271,317.5,2.0,3.44,141.0,Colorless,,,,,1.90772e-06,48.0,66.0,152.0,540.3, 342.9, 508.6,N/A,0.00028,1e-06,3
9,9,18.998403163,0.001696,Gas,53.54999999999998,85.02999999999997,144.13,5.172,0.26,3.27,824.0,1.4,,0.0277,,,0.011202,,,,,,,,1.000195,,1.0,3.98,328.0,Colorless,,,,,,42.0,57.0,147.0,550, 328, 728,N/A,0.0096,2e-05,1
10,10,20.1797,0.0009000000000000001,Gas,24.559999999999974,27.069999999999965,44.4,2.76,0.34,1.75,1030.0,1.6666666666666667,,0.0491,,,0.02242,,,,,,,,1.000067,936.0,0.0,,0.0,Colorless,,,,,-3.6900000000000003e-09,38.0,58.0,154.0,442.9, 442.9, 442.9,N/A,0.04,0.00059,3
11,11,22.98976928,0.968,Solid,370.87,1156.15,2573.0,35.0,2.6,97.7,1230.0,,,140.0,7e-05,0.927,2.375e-05,0.69,0.5,,6.3,3.3,10.0,,,3200.0,1.0,0.93,52.8,Silver,21000000.0,4.699999999998e-08,,,8.599999999999999e-06,190.0,166.0,227.0,429.06, 429.06, 429.06,N/A,0.53,0.0007,1
12,12,24.305,1.738,Solid,923.15,1363.15,,,8.7,128.0,1020.0,,,160.0,2.48e-05,1.584,1.3984e-05,260.0,2.5,,45.0,17.0,45.0,0.29,,4602.0,2.0,1.31,0.0,Silver,23000000.0,4.3999999999990005e-08,,,1.2e-05,145.0,141.0,173.0,320.94, 320.94, 521.08,N/A,0.063,0.0001,3
